Data,Cliques,Impressões,CTR,Posição
2025-05-21,3,67,4.48%,10.4
2025-05-22,4,195,2.05%,49.4
2025-05-23,5,338,1.48%,35.1
2025-05-24,2,94,2.13%,8.7
2025-05-25,0,50,0%,11.6
2025-05-26,4,165,2.42%,7.8
2025-05-27,3,149,2.01%,7.2
2025-05-28,4,97,4.12%,9.9
2025-05-29,5,96,5.21%,8.9
2025-05-30,3,111,2.7%,10.8
2025-05-31,4,77,5.19%,10.9
2025-06-01,3,48,6.25%,13
2025-06-02,4,123,3.25%,9.2
2025-06-03,2,102,1.96%,9.2
2025-06-04,2,123,1.63%,7.6
2025-06-05,1,94,1.06%,8.4
2025-06-06,3,82,3.66%,9.3
2025-06-07,2,74,2.7%,12.2
2025-06-08,3,67,4.48%,12
2025-06-09,2,133,1.5%,9.5
2025-06-10,1,158,0.63%,10
2025-06-11,5,128,3.91%,10.1
2025-06-12,3,117,2.56%,8.2
2025-06-13,4,122,3.28%,11.3
2025-06-14,0,60,0%,15.9
2025-06-15,0,44,0%,18.2
2025-06-16,1,139,0.72%,9.2
2025-06-17,5,108,4.63%,10
2025-06-18,6,123,4.88%,8.3
2025-06-19,5,69,7.25%,13.7
2025-06-20,2,137,1.46%,10
2025-06-21,2,79,2.53%,17.4
2025-06-22,1,45,2.22%,10.6
2025-06-23,2,135,1.48%,10.4
2025-06-24,3,142,2.11%,8.1
2025-06-25,6,137,4.38%,8.1
2025-06-26,2,108,1.85%,8
2025-06-27,3,87,3.45%,10.1
2025-06-28,0,57,0%,11
2025-06-29,0,56,0%,11.7
2025-06-30,2,143,1.4%,10
2025-07-01,5,152,3.29%,9.1
2025-07-02,2,179,1.12%,8.3
2025-07-03,6,199,3.02%,8.6
2025-07-04,6,141,4.26%,8.5
2025-07-05,1,88,1.14%,9.4
2025-07-06,0,62,0%,11.6
2025-07-07,0,169,0%,8.8
2025-07-08,5,173,2.89%,8.3
2025-07-09,6,170,3.53%,8.5
2025-07-10,4,150,2.67%,7.8
2025-07-11,3,157,1.91%,7
2025-07-12,2,91,2.2%,13.6
2025-07-13,0,71,0%,14.2
2025-07-14,7,188,3.72%,8.6
2025-07-15,1,178,0.56%,10.2
2025-07-16,5,211,2.37%,9.9
2025-07-17,0,161,0%,10.4
2025-07-18,2,174,1.15%,15.1
2025-07-19,2,96,2.08%,16.2
2025-07-20,2,98,2.04%,15.2
2025-07-21,3,185,1.62%,10
2025-07-22,2,177,1.13%,10.7
2025-07-23,4,165,2.42%,10.1
2025-07-24,5,194,2.58%,11.9
2025-07-25,5,215,2.33%,16.1
2025-07-26,0,93,0%,14
2025-07-27,2,98,2.04%,12
2025-07-28,3,209,1.44%,9.9
2025-07-29,10,227,4.41%,9.5
2025-07-30,3,193,1.55%,11.1
2025-07-31,3,170,1.76%,11.7
2025-08-01,3,140,2.14%,12.3
2025-08-02,3,120,2.5%,13.8
2025-08-03,1,87,1.15%,17.8
2025-08-04,2,200,1%,13.5
2025-08-05,8,181,4.42%,10.6
2025-08-06,6,185,3.24%,12
2025-08-07,2,152,1.32%,13
2025-08-08,3,142,2.11%,11.6
2025-08-09,1,103,0.97%,17
2025-08-10,1,70,1.43%,20.4
2025-08-11,5,211,2.37%,11.3
2025-08-12,0,168,0%,11.8
2025-08-13,3,194,1.55%,10.6
2025-08-14,5,201,2.49%,13.6
2025-08-15,1,113,0.88%,21.5
2025-08-16,1,113,0.88%,17.1
2025-08-17,0,75,0%,20
2025-08-18,5,170,2.94%,11.9
2025-08-19,5,166,3.01%,13
2025-08-20,4,216,1.85%,12.6
2025-08-21,10,200,5%,13
2025-08-22,7,180,3.89%,11.3
2025-08-23,5,147,3.4%,14.2
2025-08-24,4,189,2.12%,29.4
2025-08-25,6,191,3.14%,10.1
2025-08-26,7,178,3.93%,10.8
2025-08-27,4,153,2.61%,11.5
2025-08-28,3,175,1.71%,11.4
2025-08-29,4,164,2.44%,13.7
2025-08-30,4,92,4.35%,16
2025-08-31,1,88,1.14%,22.1
2025-09-01,6,192,3.12%,10.1
2025-09-02,3,182,1.65%,10.9
2025-09-03,6,172,3.49%,9.6
2025-09-04,4,171,2.34%,10.2
2025-09-05,2,149,1.34%,13.1
2025-09-06,1,88,1.14%,13.7
2025-09-07,3,83,3.61%,19.1
2025-09-08,8,195,4.1%,10
2025-09-09,4,170,2.35%,10.9
2025-09-10,2,162,1.23%,8.6
2025-09-11,0,168,0%,12.3
2025-09-12,5,149,3.36%,8.6
2025-09-13,2,82,2.44%,8.1
2025-09-14,0,41,0%,8.3
2025-09-15,4,132,3.03%,7.4
2025-09-16,7,157,4.46%,7.5
2025-09-17,4,141,2.84%,7.3
2025-09-18,6,140,4.29%,9.2
2025-09-19,4,130,3.08%,7.6
2025-09-20,3,92,3.26%,5.7
