País,Cliques,Impressões,CTR,Posição
Brasil,1574,65782,2.39%,8.85
Estados Unidos,4,1572,0.25%,13.41
Reino Unido,1,101,0.99%,24.42
Portugal,1,92,1.09%,19.72
Alemanha,1,63,1.59%,20.08
Argentina,1,42,2.38%,19.1
Itália,1,40,2.5%,18.4
França,1,27,3.7%,14.11
Suíça,1,8,12.5%,20
República Tcheca,1,5,20%,8.4
Barein,1,2,50%,10
Índia,0,104,0%,18.59
Coréia do Sul,0,90,0%,25.74
Rússia,0,90,0%,29.13
Vietnã,0,61,0%,29.18
Canadá,0,55,0%,17.33
Espanha,0,29,0%,27.17
México,0,28,0%,22.11
Indonésia,0,27,0%,26.48
Região desconhecida,0,25,0%,9.48
Colômbia,0,24,0%,21.42
Filipinas,0,23,0%,21.65
Paquistão,0,22,0%,20.5
África do Sul,0,22,0%,31.36
Japão,0,21,0%,14.67
Ucrânia,0,21,0%,24.86
Austrália,0,20,0%,24.05
Países Baixos,0,19,0%,11.95
Equador,0,18,0%,21.83
Polônia,0,15,0%,34
Turquia,0,14,0%,19.93
Chile,0,12,0%,27.33
China,0,11,0%,7.36
Egito,0,11,0%,37.18
Taiwan,0,10,0%,14.1
Suécia,0,10,0%,15
Bangladesh,0,10,0%,20.8
Malásia,0,10,0%,30
Argélia,0,9,0%,13.44
Irlanda,0,9,0%,21.44
Venezuela,0,9,0%,27.44
Marrocos,0,9,0%,43.11
Peru,0,8,0%,7.38
Angola,0,8,0%,8.12
Singapura,0,8,0%,29.75
Cazaquistão,0,8,0%,32.25
Iraque,0,7,0%,26.86
Arábia Saudita,0,7,0%,42.71
Tailândia,0,6,0%,18.5
Nigéria,0,6,0%,22.33
Tunísia,0,6,0%,31.33
Quênia,0,6,0%,39.17
Israel,0,5,0%,9.4
República Dominicana,0,5,0%,13.8
Nova Zelândia,0,5,0%,14.8
Grécia,0,5,0%,16.2
Jamaica,0,5,0%,22.8
Paraguai,0,5,0%,23.8
Nepal,0,5,0%,29
Emirados Árabes Unidos,0,5,0%,33.2
Jordânia,0,5,0%,42.6
Panamá,0,4,0%,8.25
Romênia,0,4,0%,11
Áustria,0,4,0%,16.75
Trinidad e Tobago,0,4,0%,35.5
Hong Kong,0,4,0%,37.25
Lituânia,0,4,0%,39.5
Irã,0,3,0%,5
Uruguai,0,3,0%,5
Bélgica,0,3,0%,11.67
Moldávia,0,3,0%,13.67
Guatemala,0,3,0%,18.67
Dinamarca,0,3,0%,19.67
Quirguistão,0,3,0%,23.67
Barbados,0,3,0%,36.67
Bósnia e Herzegovina,0,3,0%,51.33
Finlândia,0,2,0%,4
Saara Ocidental,0,2,0%,5.5
Bulgária,0,2,0%,6.5
Geórgia,0,2,0%,7.5
Zimbábue,0,2,0%,9
Etiópia,0,2,0%,9.5
Gana,0,2,0%,10
Benin,0,2,0%,10.5
Chipre,0,2,0%,11
Noruega,0,2,0%,11
Costa Rica,0,2,0%,18
Macedônia,0,2,0%,22
Letônia,0,2,0%,25.5
Eslováquia,0,2,0%,30.5
Bahamas,0,2,0%,45.5
Kuwait,0,2,0%,50.5
Uzbequistão,0,2,0%,59.5
Congo-Kinshasa,0,1,0%,1
Azerbaijão,0,1,0%,3
Catar,0,1,0%,4
Croácia,0,1,0%,6
Luxemburgo,0,1,0%,6
Hungria,0,1,0%,8
El Salvador,0,1,0%,8
Ilhas Aland,0,1,0%,9
Cabo Verde,0,1,0%,9
Ilhas Cayman,0,1,0%,9
Montenegro,0,1,0%,9
Senegal,0,1,0%,9
Moçambique,0,1,0%,10
Líbia,0,1,0%,11
Albânia,0,1,0%,17
Fiji,0,1,0%,17
Kosovo,0,1,0%,19
Tanzânia,0,1,0%,23
Ilhas Maurício,0,1,0%,24
Sérvia,0,1,0%,26
Camboja,0,1,0%,28
Mali,0,1,0%,53
Turcomenistão,0,1,0%,58
Sudão do Sul,0,1,0%,78
Botsuana,0,1,0%,80
Seichelles,0,1,0%,86
Bolívia,0,1,0%,90
Bielorrússia,0,1,0%,95
Costa do Marfim,0,1,0%,120
